"","Average Tee To Green","Average Driving Distance","Average SG: Putting","Average Approach the Green","Average Off The Tee","Average SG: Around The Green","Scoring Average","Rank","Height","Weight","Sand Saves","Bunkers","Hit Fairway"
"Rory McIlroy",2.275,313.7,0.396,0.709,1.215,0.35,69.09,1,178,73,47,89,399
"Justin Thomas",1.733,300.9,-0.276,0.984,0.439,0.31,69.612,9,178,72,42,84,364
"Patrick Cantlay",1.675,305.6,0.406,0.71,0.586,0.378,69.171,3,183,86,51,93,369
"Dustin Johnson",1.658,311.2,0.337,0.593,0.8,0.264,69.428,5,193,86,41,64,344
"Paul Casey",1.585,297.7,-0.18,0.755,0.642,0.188,69.812,13,178,82,43,106,448
"Hideki Matsuyama",1.583,304,-0.073,0.881,0.451,0.251,69.884,16,180,90,64,128,533
"Adam Scott",1.573,298.8,0.282,0.834,0.37,0.369,69.806,12,183,82,45,83,260
"Byeong Hun An",1.45,307.6,-0.565,0.465,0.334,0.65,70.406,34,188,95,68,122,434
"Brooks Koepka",1.261,308.3,0.217,0.739,0.499,0.023,69.265,4,183,92,38,65,402
"Corey Conners",1.26,296.7,-0.654,0.636,0.742,-0.119,70.85,81,183,86,61,122,527
"Tommy Fleetwood",1.224,297.6,0.295,0.351,0.574,0.298,69.556,7,180,76,49,77,339
"Gary Woodland",1.216,309.1,-0.119,0.568,0.584,0.064,70.09,21,185,88,53,108,467
"Jon Rahm",1.18,306.3,0.297,0.303,0.774,0.103,69.665,10,188,99,48,91,358
"Webb Simpson",1.134,288.2,0.6,0.705,0.106,0.322,69.161,2,188,84,69,110,539
"Matt Kuchar",1.099,290.1,0.342,0.747,0.235,0.117,69.61,8,193,88,47,77,535
"Xander Schauffele",1.093,303.2,0.382,0.355,0.5,0.239,69.814,14,178,79,62,111,357
"Emiliano Grillo",1.065,295.9,-0.541,0.904,0.432,-0.271,70.705,65,175,64,55,115,454
"Sergio Garcia",0.996,302.7,-0.03,0.659,0.389,-0.051,70.135,23,178,82,34,72,291
"Lucas Glover",0.995,295.8,0.177,0.452,0.349,0.194,69.919,17,188,88,60,109,624
"Jim Furyk",0.96,275.8,0.183,0.766,-0.006,0.2,69.821,15,188,84,40,78,502
"Kevin Streelman",0.955,292,-0.215,0.491,0.378,0.086,70.713,66,178,79,67,132,624
"Matthew Fitzpatrick",0.941,287.9,-0.054,0.409,0.338,0.194,70.525,45,178,70,41,86,356
"Justin Rose",0.915,304.4,0.753,0.631,0.253,0.031,69.527,6,191,88,54,89,303
"Joaquin Niemann",0.91,301.2,-0.207,0.506,0.325,0.079,70.576,50,183,69,82,155,611
"Chez Reavie",0.882,287.5,0.074,0.651,0.28,-0.049,70.161,24,175,73,59,120,605
"Henrik Stenson",0.866,282.7,0.106,1.149,-0.293,0.01,70.089,20,188,86,37,75,416
"Sungjae Im",0.846,296,0.246,0.142,0.408,0.296,70.226,26,183,90,80,166,794
"Jason Day",0.823,301.3,0.296,0.105,0.655,0.063,69.946,18,183,88,49,95,369
"Rickie Fowler",0.786,303.2,0.473,0.335,0.281,0.17,69.803,11,175,68,65,122,442
"Marc Leishman",0.778,296.2,0.33,0.647,-0.031,0.162,70.269,27,188,91,61,110,400
"Russell Knox",0.776,289.6,-0.094,0.564,0.021,0.191,70.416,36,178,72,56,91,518
"Keegan Bradley",0.753,298.9,-0.52,0.681,0.173,-0.101,70.726,67,191,86,48,105,544
"Bud Cauley",0.729,293.8,-0.074,0.226,-0.133,0.636,70.491,42,170,73,78,133,627
"Tyrrell Hatton",0.727,297.4,-0.17,0.13,0.209,0.388,70.542,48,175,73,49,90,321
"Charles Howell III",0.725,303.3,0.348,0.05,0.261,0.414,70.313,29,180,70,59,122,546
"Bubba Watson",0.72,311.8,-0.315,-0.038,0.786,-0.027,70.603,54,191,82,46,92,390
"Ryan Moore",0.707,283.2,0.147,0.547,0.122,0.038,70.987,101,175,77,46,107,578
"Scott Piercy",0.688,292.5,0.087,0.266,0.318,0.104,70.163,25,183,84,59,116,575
"Tony Finau",0.677,309.8,-0.061,0.307,0.393,-0.022,70.019,19,193,91,65,140,400
"Rory Sabbatini",0.676,290,0.167,0.067,0.319,0.289,70.367,33,178,75,70,130,623
"Dylan Frittelli",0.664,296.8,-0.118,0.149,0.316,0.199,70.614,57,188,81,55,113,508
"Ryan Palmer",0.63,299.8,0.141,0.468,0.296,-0.135,70.412,35,180,79,44,101,355
"Patrick Reed",0.606,295.6,0.193,0.142,0.106,0.358,70.283,28,183,91,75,130,511
"Keith Mitchell",0.595,303.8,-0.191,-0.024,0.767,-0.149,70.891,87,185,84,64,127,452
"Francesco Molinari",0.569,289.8,-0.083,0.141,0.251,0.178,70.558,49,173,72,40,62,331
"Luke List",0.564,314.2,-0.216,-0.019,0.573,0.009,71.126,121,188,86,56,121,384
"Louis Oosthuizen",0.548,296.4,0.121,-0.044,0.139,0.453,70.342,30,178,82,56,95,332
"Zach Johnson",0.546,287.5,-0.087,0.398,0.053,0.095,70.644,61,180,74,53,98,486
"Abraham Ancer",0.509,293,-0.029,-0.002,0.554,-0.043,70.622,60,170,70,55,119,570
"Cameron Tringale",0.484,296.9,0.134,0.468,-0.138,0.154,70.75,70,188,84,46,85,401
"Matt Jones",0.481,294.6,0.133,-0.227,0.341,0.367,70.843,79,183,77,75,141,535
"Jason Dufner",0.479,290.1,-0.494,0.091,0.264,0.124,71.336,142,178,82,69,136,549
"Rafa Cabrera Bello",0.468,289.5,0.155,0.169,0.218,0.081,70.59,53,188,81,75,143,403
"Danny Willett",0.463,294.2,-0.142,0.332,0.026,0.105,70.891,87,180,77,54,101,360
"Russell Henley",0.463,288.1,-0.274,0.308,0.142,0.014,70.856,83,183,82,43,100,540
"Hank Lebioda",0.447,294,-0.28,0.281,0.085,0.081,71.002,103,180,81,43,99,517
"Aaron Wise",0.438,303.7,-0.111,-0.166,0.531,0.073,70.744,69,185,82,35,74,434
"Nate Lashley",0.431,290.5,0.456,0.563,-0.162,0.031,70.36,32,183,86,41,80,443
"Billy Horschel",0.428,292.1,0.444,0.252,0.141,0.034,70.611,56,183,79,62,131,539
"Troy Merritt",0.41,293.5,-0.024,0.352,0.01,0.069,70.963,97,183,73,35,69,461
"J.B. Holmes",0.398,305.3,-0.74,0.184,0.246,-0.032,71.639,168,180,86,53,99,296
"Martin Kaymer",0.397,291.8,-0.164,0.433,-0.168,0.132,71.036,111,183,75,45,72,342
"Charley Hoffman",0.375,296.1,-0.158,0.435,0.178,-0.238,71.282,136,183,91,43,113,344
"Harold Varner III",0.367,302.7,-0.144,0.019,0.268,0.08,70.66,62,173,77,61,105,544
"Scott Stallings",0.364,297.5,-0.332,0.291,0.064,0.01,71.357,145,183,88,65,126,541
"Talor Gooch",0.361,297.8,0.125,0.703,-0.196,-0.146,70.526,46,183,91,42,71,367
"Brandt Snedeker",0.34,287,0.597,0.004,-0.21,0.545,70.605,55,185,84,95,155,584
"Cameron Davis",0.34,309,-0.204,0.165,0.197,-0.021,70.985,100,193,82,44,94,458
"J.T. Poston",0.329,293.8,0.189,0.215,0.06,0.053,70.589,52,188,74,82,160,694
"Daniel Berger",0.322,301,-0.043,0.007,0.344,-0.029,70.443,39,185,79,68,121,541
"Kramer Hickok",0.317,291,-0.604,-0.264,0.336,0.245,71.243,131,180,80,48,110,562
"Martin Laird",0.307,299.1,0.068,0.141,0.078,0.088,70.733,68,188,86,51,104,595
"Sebastián Muñoz",0.299,299.4,0.044,0.042,0.02,0.238,70.92,93,183,83,57,117,494
"Brian Stuard",0.296,277,0.113,0.295,-0.209,0.211,71.004,104,178,79,71,133,725
"Chris Kirk",0.28,283.2,-0.541,0.19,-0.18,0.27,71.629,166,191,79,50,85,295
"Josh Teater",0.279,292,-0.017,0.361,0.081,-0.162,70.983,99,178,82,36,96,454
"Si Woo Kim",0.273,293.1,0.096,-0.286,0.134,0.426,70.758,72,180,83,85,143,455
"Branden Grace",0.262,295.9,-0.461,0.118,0.003,0.141,71.5,156,178,78,50,102,324
"Shawn Stefani",0.252,295.9,-0.159,0.421,-0.303,0.133,70.958,96,188,93,55,104,530
"Kevin Kisner",0.25,286.1,0.283,0.233,0.184,-0.168,70.54,47,178,75,56,125,577
"Kevin Na",0.249,290.9,0.013,0.109,-0.219,0.359,71.036,111,180,76,59,104,351
"Kyle Stanley",0.246,289.8,-0.188,0.316,0.028,-0.098,71.048,116,180,75,59,122,490
"Kevin Tway",0.232,303.8,-0.224,0.07,-0.098,0.26,71.092,119,191,84,56,112,438
"Brian Harman",0.221,288.9,0.14,-0.229,0.253,0.196,71.021,108,170,68,79,137,627
"Adam Hadwin",0.218,291.4,0.193,0.075,0.395,-0.252,70.429,37,173,75,71,132,501
"Andrew Landry",0.204,287.3,-0.271,0.274,0.246,-0.317,71.328,141,170,68,46,99,608
"Nick Taylor",0.201,292.3,0.29,0.004,0.15,0.048,70.663,63,183,77,72,154,721
"Joel Dahmen",0.2,292.4,-0.092,0.145,0.285,-0.229,70.87,85,180,80,72,144,631
"Ian Poulter",0.195,293.3,0.514,0.013,-0.014,0.196,70.504,43,185,86,54,90,313
"Matt Every",0.195,294.6,0.079,0.048,0.143,0.004,70.757,71,180,86,36,70,269
"Jimmy Walker",0.192,299.2,-0.13,0.051,-0.181,0.322,71.262,134,188,82,84,136,423
"Trey Mullinax",0.181,310.2,-0.353,0.134,0.341,-0.293,71.194,124,193,88,48,108,437
"Nick Watney",0.172,302.2,-0.021,0.08,0.007,0.085,70.896,89,188,82,67,133,509
"J.J. Spaun",0.17,290.9,-0.019,0.165,-0.009,0.014,70.942,95,175,83,48,102,544
"Wes Roach",0.166,294.1,0,-0.11,0.079,0.197,71.228,129,191,84,37,91,450
"Adam Schenk",0.154,301.3,0.303,0.239,0.045,-0.13,70.855,82,188,86,62,127,648
"Max Homa",0.15,299.3,0.007,0.235,0.215,-0.301,71.012,106,185,82,53,125,477
"Sung Kang",0.139,299.8,0.061,0.084,0.147,-0.092,70.92,93,173,75,75,132,540
"Cameron Smith",0.133,295.1,0.23,0.069,-0.222,0.286,70.795,75,180,78,71,117,385
"Danny Lee",0.132,301.5,-0.165,0.213,0.04,-0.121,70.897,90,180,79,71,131,523
"Adam Long",0.132,293.2,-0.337,0.132,0.08,-0.08,71.222,128,178,73,55,111,574
"Michael Thompson",0.129,288.8,0.35,-0.003,0.012,0.12,70.617,58,183,83,77,140,603
"Carlos Ortiz",0.121,301.2,0.05,-0.085,0.246,-0.039,71.039,113,183,68,53,109,581
"Bill Haas",0.098,291.5,0.055,-0.169,-0.083,0.35,71.056,118,188,84,56,107,522
"Roberto Castro",0.088,283.8,-0.079,0.432,-0.382,0.039,71.127,122,183,77,46,98,591
"Sam Ryder",0.069,294.3,0.502,0.241,0.036,-0.208,70.832,77,188,79,76,123,508
"Jonas Blixt",0.054,289.5,0.159,-0.036,0.061,0.029,70.798,76,178,74,52,111,558
"Kyoung-Hoon Lee",0.045,286.3,-0.081,0.009,0.178,-0.142,71.261,133,175,80,71,136,542
"Mackenzie Hughes",0.045,298,-0.049,0.042,-0.065,0.068,70.866,84,185,82,48,112,488
"Tom Hoge",0.039,290.4,-0.284,0.381,-0.179,-0.163,71.608,164,185,79,70,141,613
"Ryan Armour",0.038,278.1,0.144,0.021,-0.093,0.11,70.898,91,175,77,69,127,715
"Vaughn Taylor",0.029,283,0.687,0.234,-0.199,-0.006,70.434,38,183,73,76,142,705
"Alex Noren",-0.003,301.1,-0.266,-0.366,0.083,0.28,71.046,115,180,75,53,119,365
"Roger Sloan",-0.012,296.6,0.058,0.151,-0.05,-0.112,71.015,107,188,79,75,134,543
"Fabián Gómez",-0.016,290.2,-0.144,-0.286,0.048,0.222,71.484,152,173,74,39,86,459
"Brendan Steele",-0.027,302.5,-0.503,-0.316,0.518,-0.228,71.893,177,188,79,37,95,475
"Peter Malnati",-0.043,292.5,0.492,0.239,-0.375,0.092,70.702,64,178,72,66,130,560
"Bronson Burgoon",-0.053,296.1,-0.291,-0.033,0.054,-0.074,71.295,138,188,86,49,98,431
"Patrick Rodgers",-0.061,299.9,0.406,-0.252,0.128,0.063,71.29,137,188,83,40,86,343
"Scott Brown",-0.064,289,0.148,-0.08,0.22,-0.204,70.886,86,173,77,68,138,587
"Brice Garnett",-0.074,287.9,0.126,-0.181,0.266,-0.159,71.004,104,180,79,57,129,615
"Jim Knous",-0.123,296.5,-0.249,0.111,0.041,-0.275,71.483,151,185,81,34,82,289
"Pat Perez",-0.152,286.1,0.517,0,-0.5,0.348,71.021,108,183,86,44,88,350
"Graeme McDowell",-0.154,286.3,0.789,0.043,-0.288,0.091,70.357,31,178,73,66,120,382
"Hudson Swafford",-0.167,295.2,-0.031,0.119,-0.047,-0.239,71.35,144,191,91,53,97,368
"Robert Streb",-0.187,288.7,-0.237,-0.053,-0.256,0.122,71.629,166,178,75,56,120,515
"Tyler Duncan",-0.193,288.2,-0.565,-0.152,0.156,-0.197,71.577,161,173,68,45,101,624
"Andrew Putnam",-0.194,282.5,0.713,0.374,-0.652,0.085,70.618,59,185,77,64,108,397
"Denny McCarthy",-0.207,291,0.98,-0.396,0.088,0.1,70.479,41,175,75,57,118,602
"Richy Werenski",-0.221,293.6,0.074,-0.163,0.057,-0.114,71.104,120,183,74,57,126,620
"Jim Herman",-0.232,288.3,-0.154,-0.11,0.203,-0.325,71.75,172,183,77,34,77,375
"Austin Cook",-0.232,291,-0.088,-0.095,0.236,-0.372,71.201,125,170,73,66,135,518
"Phil Mickelson",-0.241,306.5,-0.116,-0.113,-0.183,0.054,71.172,123,191,91,46,88,285
"Wyndham Clark",-0.278,312.6,0.649,-0.542,0.019,0.245,70.58,51,183,78,67,117,496
"Sam Burns",-0.32,307.2,0.369,-0.293,0.277,-0.304,70.995,102,185,83,53,129,536
"Harris English",-0.327,301,0.527,-0.437,-0.024,0.134,71.055,117,191,84,75,146,668
"Ryan Blaum",-0.338,289.2,0.194,-0.292,-0.052,0.006,71.302,139,173,75,66,133,629
"Aaron Baddeley",-0.34,286.3,0.654,-0.34,-0.46,0.46,70.783,73,183,80,54,99,324
"Jonathan Byrd",-0.349,281.6,-0.412,0.204,-0.758,0.205,71.49,153,175,75,28,68,279
"Cameron Champ",-0.358,316.9,-0.018,-0.297,0.594,-0.655,71.338,143,183,79,33,98,455
"Chesson Hadley",-0.36,297.9,0.199,0.247,-0.349,-0.257,71.499,155,193,73,59,114,444
"Alex Cejka",-0.362,278,-0.482,-0.014,-0.092,-0.257,72.076,183,178,77,34,81,379
"Rod Pampling",-0.382,286.4,-0.796,-0.473,-0.187,0.278,72.304,189,178,79,49,106,354
"Jordan Spieth",-0.392,295.1,0.775,-0.242,-0.482,0.332,70.449,40,185,79,65,119,431
"Lucas Bjerregaard",-0.441,308.9,-0.459,-0.236,0.191,-0.395,71.6,162,188,83,32,69,241
"David Hearn",-0.458,279.3,-0.157,0.009,-0.158,-0.309,71.697,169,185,77,37,73,319
"Peter Uihlein",-0.526,297.5,0.345,-0.168,-0.442,0.085,71.512,157,185,86,72,130,399
"J.J. Henry",-0.535,288.8,-0.657,-0.273,-0.099,-0.163,72.135,186,191,91,33,83,363
"Ernie Els",-0.536,284.7,0.01,-0.355,-0.463,0.282,71.548,160,191,95,49,76,235
"Brian Gay",-0.549,275.1,0.412,-0.42,-0.226,0.097,71.244,132,178,75,68,140,683
"Chris Thompson",-0.629,290.7,-0.354,-0.347,-0.157,-0.125,72.535,194,188,88,32,67,257
"Patton Kizzire",-0.634,295,0.58,-0.138,-0.442,-0.054,71.266,135,196,98,59,116,425
"Chris Stroud",-0.649,290,0.035,-0.097,-0.549,-0.004,71.546,159,188,82,49,94,399
"Kelly Kraft",-0.702,290.3,0.081,-0.098,-0.304,-0.299,71.448,149,183,79,70,145,531
"Ted Potter, Jr.",-0.727,281.4,-0.216,-0.14,-0.253,-0.335,72.214,188,180,82,56,134,517
"Seamus Power",-0.776,295.9,0.057,-0.676,-0.247,0.147,72.026,182,191,91,64,113,482
"Beau Hossler",-0.797,299.4,0.619,-0.765,0.048,-0.08,71.381,146,185,88,78,149,532
"Stewart Cink",-0.827,296.1,0.26,-0.195,-0.562,-0.07,71.624,165,193,93,49,88,232
"Sangmoon Bae",-0.851,296.5,0.217,-0.568,0.02,-0.302,71.762,173,183,82,41,80,343
"Anirban Lahiri",-0.869,290.2,0.116,-0.298,-0.431,-0.139,71.698,170,175,79,59,108,498
"Hunter Mahan",-0.875,295.7,0.102,-0.563,0.262,-0.574,71.948,179,180,79,48,103,425
"John Senden",-0.91,284.9,-0.119,-0.082,-0.59,-0.238,72.382,191,193,91,30,57,256
"Freddie Jacobson",-0.968,285.3,0.142,-0.151,-0.639,-0.178,71.953,180,185,81,31,73,326
"Cody Gribble",-0.994,297.2,-0.033,-0.427,-0.374,-0.193,72.096,185,175,75,38,92,431
"Dominic Bozzelli",-0.997,296.4,0.847,-0.766,-0.236,0.005,71.023,110,183,81,60,108,403
"Satoshi Kodaira",-1.124,282.3,-0.504,-0.399,-0.311,-0.414,72.78,195,170,68,37,95,467
"Martin Trainer",-1.39,303.8,-0.041,-1.378,-0.075,0.063,72.343,190,185,80,51,96,343
"Michael Kim",-1.95,279.3,-0.185,-0.545,-1.556,0.15,73.569,196,180,75,54,116,313
